species,leaf area,leaf carbon content per leaf dry mass,leaf carbon content per leaf nitrogen content,leaf dry mass per leaf fresh mass,leaf nitrogen content per leaf area,leaf nitrogen content per leaf dry mass,leaf phosphorus content per leaf dry mass,leaf photosynthetic rate per leaf area,leaf photosynthetic rate per leaf dry mass,leaf stomatal conductance for H2O per leaf area,leaf thickness,plant flowering begin,seed mass,whole plant height,whole plant leaf area per whole plant leaf dry mass,whole plant leaf dry mass
Achillea millefolium,3326.884307,432.041749,14.72651697,190.8115189,0.001696088,22.98016438,NA,16.12881968,0.22767519,375.284591,0.335106997,5.818181818,0.186194811,0.129692617,14.65391621,0.024348889
Agastache urticifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,NA
Agoseris heterophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75588,0.13,30.6794,NA
Alyssum desertorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA
Amelanchier alnifolia,NA,NA,13.7494686,NA,0.00193617,18.2,3.336565253,16.6,0.15604,243,NA,4.857142857,6.056556917,11.4008,6.366912312,NA
Arnica cordifolia,NA,NA,19.4951456,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.343,NA,16.18114261,NA
Artemisia tridentata,NA,4.636161111,9.114,NA,0.002507581,23.34576923,2.68829,9.475,0.0583175,155.5,NA,NA,0.2213778,4.572,8.489910219,NA
Astragalus alpinus,162.465,NA,NA,181.238,NA,NA,NA,NA,NA,NA,NA,6,NA,0.1236,23.85604037,0.007694286
Balsamorhiza hookeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balsamorhiza sagittata,NA,4.106,NA,NA,NA,23.4,2.27606,NA,NA,NA,NA,NA,NA,NA,10.27834917,NA
Bromus briziformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18,NA,NA,NA
Bromus carinatus,1716,430.1568083,17.97665472,235,NA,29.4187275,NA,144373.125,0.004944404,NA,NA,6,6.395129667,1.3,29.67205389,0.083219118
Bromus catharticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9.306529412,NA,NA,NA
Bromus inermis,1114.382785,4.318511004,12.742,514.6980591,0.000961884,29.19793874,2.543651765,10.33150453,0.1921325,203.607459,0.240333333,5.947368421,2.8525,0.775476119,16.3380031,0.067567633
Bromus marginatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.42,NA,NA,NA
Bromus tectorum,180.826565,NA,NA,158.29,NA,NA,NA,NA,NA,NA,NA,5.666666667,2.48661045,0.267559,29.56008625,0.021458
Cirsium foliosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cirsium vulgare,9856.8862,NA,28.8203125,152.0303461,NA,NA,NA,NA,NA,NA,1.462833334,6.666666667,2.607556533,0.895469429,14.77805485,0.545102857
Claytonia perfoliata,710.264525,NA,10.9014085,60.37307692,NA,NA,NA,NA,NA,NA,NA,4,1.220675,0.157963,45.1702448,0.016139659
Clematis ligusticifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0571348,NA,NA,NA
Collinsia parviflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.641348,0.4,NA,NA
Collomia grandiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2.911,0.4,NA,NA
Comandra umbellata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA
Crepis acuminata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cystopteris fragilis,1970,NA,NA,248,NA,NA,NA,NA,NA,NA,NA,5,NA,0.29423075,21.4,0.0919
Elymus glaucus,NA,438.5018083,12.16948695,NA,NA,38.54171583,NA,165197.8417,0.005222388,NA,NA,NA,3.622000833,1.8,29.57563097,NA
Elymus repens,2105.414938,458.7512154,14.25747025,280.7996282,0.001182747,21.29805442,1.57,15.76992143,0.278267333,324.588639,0.143565061,6.066666667,2.330676,0.65500725,23.99365864,0.084401065
Epilobium angustifolium,3811,4.550391335,NA,228,0.0015,31.31761263,2.275538,NA,NA,NA,NA,6.75,0.158827857,0.874153846,19.92227478,0.2016
Eriogonum flavum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
Eriogonum heracleoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA
Eriogonum umbellatum,NA,4.60888641,14.7952218,NA,NA,32.27433333,2.251293333,NA,NA,NA,NA,NA,2.013,NA,10.62473327,NA
Erodium cicutarium,1572.37336,NA,NA,206.9272727,NA,19.7,NA,NA,NA,NA,NA,4,2.307805083,0.43928575,28.32082643,0.04261006
Fragaria virginiana,NA,4.327436274,NA,NA,NA,23.86016667,2.650214,NA,NA,NA,NA,5,0.48192125,0.1085,17.37634554,NA
Galium aparine,128.9423985,434.0476053,18.70786135,142.9430295,NA,30.9703453,NA,NA,NA,NA,0.258598703,5.352941176,9.922787095,0.724702417,33.02075842,0.005695811
Galium boreale,49.005,4.499304652,NA,214.547,NA,23.3132,1.649534,NA,NA,NA,NA,6,0.6,0.33125,20.96154797,0.002548
Geranium viscosissimum,NA,4.52027896,NA,NA,NA,25.4935,1.58182,NA,NA,NA,NA,NA,NA,NA,14.5020517,NA
Helianthella uniflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holodiscus dumosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isatis tinctoria,1459.375,NA,NA,157.368,NA,NA,NA,NA,NA,NA,NA,5,1.782857143,0.66875,18.429,0.113403
Koeleria macrantha,454,394.6187308,13.95557328,326.9601236,NA,33.05061429,1.51147,178554.6,0.005476482,NA,0.237,6,0.515597571,0.0978,20.74882689,0.046877515
Lactuca serriola,4604.812326,NA,20.7754011,184.2608611,NA,28,NA,NA,NA,NA,0.469583334,7,0.488005389,0.500336795,36.07127069,0.131487183
Lithospermum incisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4.7,NA,NA,NA
Lomatium dissectum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lupinus sericeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maianthemum racemosum,NA,NA,17.6708861,NA,NA,NA,NA,NA,NA,NA,NA,5.714285714,29.47204143,1,20.09817328,NA
Maianthemum stellatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
Malus pumila,NA,NA,NA,NA,NA,17.3623025,NA,NA,NA,NA,NA,NA,22.5195136,12,17.068,NA
Mentha arvensis,604.2514286,NA,NA,177.8419231,NA,NA,NA,NA,NA,NA,NA,6.666666667,0.174666667,0.305555556,43.80269231,0.01404125
Mertensia arizonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryzopsis hymenoides,NA,4.3259425,NA,NA,NA,16.52475,1.1503075,NA,NA,NA,NA,NA,2.939571429,NA,NA,NA
Paxistima canbyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Physocarpus malvaceus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.599745,NA,NA,NA
Poa bulbosa,15.9981,NA,33.504,211.024,NA,13.42285,NA,NA,NA,NA,NA,5,0.451871429,0.2325,18.06647973,0.000768
Poa pratensis,1010.462675,383.7945286,11.966,330.8640066,0.001482016,21.86316,1.101858956,16.50388889,0.210015,413.4777777,0.196083333,5.789473684,0.284569027,0.345505429,27.17865238,0.027268144
Prosartes trachycarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
Prunus virginiana,1528.1165,NA,NA,NA,NA,24.78216,NA,NA,NA,NA,NA,5.027027027,72.06513076,17.4676,12.25873577,NA
Pseudostellaria jamesiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775,NA,NA,NA
Rosa woodsii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.410610444,NA,NA,NA
Rudbeckia occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA
Sedum debile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stellaria media,427.8632667,NA,NA,99.44599985,NA,40.43831,NA,NA,NA,NA,0.204777778,5.541666667,0.400453087,0.204737769,51.35288647,0.008746235
Symphoricarpos oreophilus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thalictrum fendleri,NA,4.463417163,NA,NA,NA,36.065625,3.116185,NA,NA,NA,NA,NA,0.922333333,0.207,21.98708463,NA
Tragopogon pratensis,1507.5,NA,NA,162.3566667,NA,NA,NA,NA,NA,NA,NA,5,3.5475,0.375,25.03222222,0.070622914
Verbascum thapsus,21628.33333,NA,NA,213.6666667,NA,NA,NA,NA,NA,NA,NA,7,0.085384615,0.84375,16.91821751,1.595280151
Vicia americana,NA,NA,8.74117647,NA,NA,25.88397,NA,NA,NA,NA,NA,5.318181818,11.35734833,0.376269,19.49910458,NA
Wyethia amplexicaulis,NA,4.616,NA,NA,NA,24.3,1.68561,NA,NA,NA,NA,NA,NA,NA,NA,NA
